window,r_bin_min_A,r_bin_max_A,r_bin_center_A,eps00194_atoms,eps0000_atoms,eps0000_sigma_xx_mean_mpa,eps00194_sigma_xx_mean_mpa,delta_sigma_xx_mean_mpa,eps0000_sigma_yy_mean_mpa,eps00194_sigma_yy_mean_mpa,delta_sigma_yy_mean_mpa,eps0000_sigma_zz_mean_mpa,eps00194_sigma_zz_mean_mpa,delta_sigma_zz_mean_mpa,eps0000_abs_sigma_zz_mean_mpa,eps00194_abs_sigma_zz_mean_mpa,delta_abs_sigma_zz_mean_mpa,eps0000_sigma_vm_mean_mpa,eps00194_sigma_vm_mean_mpa,delta_sigma_vm_mean_mpa,eps0000_sigma_vm_p95_mpa,eps00194_sigma_vm_p95_mpa,delta_sigma_vm_p95_mpa,eps0000_abs_sigma_zz_p95_mpa,eps00194_abs_sigma_zz_p95_mpa,delta_abs_sigma_zz_p95_mpa,eps0000_fraction_vm_gt_120mpa,eps00194_fraction_vm_gt_120mpa,delta_fraction_vm_gt_120mpa,eps0000_fraction_abs_sigma_zz_gt_120mpa,eps00194_fraction_abs_sigma_zz_gt_120mpa,delta_fraction_abs_sigma_zz_gt_120mpa,eps0000_pe_atom_mean_ev,eps00194_pe_atom_mean_ev,delta_pe_atom_mean_ev
final,46.0,48.0,47.0,1380,1380,-565.2164422833606,-698.7940335479782,-133.57759126461758,-95.9922953647775,-225.001976072101,-129.0096807073235,506.088189202422,320.8755524592824,-185.21263674313957,506.088189202422,320.8755524592824,-185.21263674313957,936.150824685061,894.0996787383958,-42.0511459466652,7321.72627672924,7419.254220774627,97.5279440453869,4437.946228555398,4382.785697781314,-55.16053077408378,1.0,1.0,0.0,0.9608695652173913,0.9623188405797102,0.0014492753623188692,-3.3132020797101447,-3.3126677753623195,0.0005343043478251985
final,48.0,50.0,49.0,1380,1380,-568.0622595981191,-569.826474063627,-1.7642144655078482,-71.02892606673613,-95.95510236327469,-24.926176296538557,582.8496314444227,559.6793481854703,-23.170283258952395,582.8496314444227,559.6793481854703,-23.170283258952395,1005.7604126762899,986.0516711728676,-19.70874150342229,7299.975805370296,7281.486793926007,-18.489011444289645,4525.646307003587,4228.646619409916,-296.9996875936713,1.0,1.0,0.0,0.9528985507246377,0.9514492753623188,-0.0014492753623188692,-3.3141447681159426,-3.311913956521739,0.0022308115942037965
final,50.0,55.0,52.5,3917,4075,-722.7488029634274,-786.3859863236264,-63.63718336019906,-133.7753375471908,-235.46308548242789,-101.6877479352371,609.2612041848855,380.2983745154947,-228.96282966939083,609.2612041848855,380.2983745154947,-228.96282966939083,1161.2541166499423,1012.8070450323336,-148.44707161760869,8652.614612074518,8287.328218538998,-365.2863935355199,5173.078872701374,4793.945198132222,-379.1336745691524,1.0,1.0,0.0,0.96,0.9619606841970896,0.0019606841970896127,-3.313868510429448,-3.3144142941026296,-0.000545783673181699
final,55.0,60.0,57.5,2983,2825,-514.5439504505479,-487.3688478486008,27.17510260194706,-120.95478744594948,-72.29412275211438,48.6606646938351,393.33252368206684,487.86357219412713,94.5310485120603,393.33252368206684,487.86357219412713,94.5310485120603,793.6951768408602,849.1856396135463,55.4904627726861,5975.59322941776,6268.6548181641965,293.0615887464364,3557.851914464616,3745.96698222316,188.11506775854377,1.0,1.0,0.0,0.944070796460177,0.9540730807911498,0.010002284330972833,-3.3140744920353984,-3.3132336004022798,0.0008408916331186234
final,60.0,65.0,62.5,3763,4056,-689.6071569787073,-741.7167825883702,-52.109625609662885,-95.756710427905,-201.812299615952,-106.05558918804701,666.6311317572246,402.99364206925964,-263.63748968796494,666.6311317572246,402.99364206925964,-263.63748968796494,1183.4218573969235,992.8002613904105,-190.62159600651307,8490.56569572386,7870.598135566109,-619.9675601577519,5120.816830262117,4606.801171706678,-514.0156585554387,1.0,1.0,0.0,0.9632642998027613,0.9627956417751794,-0.0004686580275818919,-3.314190253944773,-3.3139913499867126,0.00019890395806054784
final,65.0,70.0,67.5,3137,2844,-477.25850903560814,-570.7729493523387,-93.5144403167306,-55.77095879030357,-135.6264344672579,-79.85547567695433,466.92694393257926,412.8177292407861,-54.10921469179317,466.92694393257926,412.8177292407861,-54.10921469179317,821.1447128375675,856.226467187964,35.08175435039652,5974.882411401488,6637.863180713092,662.9807693116045,3518.1184618731504,3899.831020831122,381.7125589579714,1.0,1.0,0.0,0.9462025316455697,0.9537774944214218,0.007574962775852123,-3.313201009142053,-3.312549658909786,0.000651350232267145
final,70.0,75.0,72.5,3530,4011,-701.5397689006518,-618.124308263081,83.41546063757073,-136.1543954418459,-127.82370030636456,8.33069513548135,610.4455449439339,489.66120248992047,-120.78434245401343,610.4455449439339,489.66120248992047,-120.78434245401343,1142.5837029996073,962.7881084528943,-179.795594546713,8390.984499862047,7534.665585955574,-856.3189139064725,4941.484853427082,4334.213634371622,-607.2712190554603,1.0,1.0,0.0,0.9621042134131139,0.953257790368272,-0.008846423044841956,-3.3146122213911737,-3.3120548045325777,0.0025574168585960066
final,75.0,80.0,77.5,3370,2889,-464.25539309844993,-577.9278430046147,-113.67244990616479,-61.7088821072397,-99.39522054089315,-37.68633843365345,500.0672677916107,459.5437674482365,-40.52350034337417,500.0672677916107,459.5437674482365,-40.52350034337417,853.1291250898844,904.0068981578285,50.87777306794408,6135.789599034119,7250.493590002842,1114.7039909687228,3675.3975124406534,4348.873257006992,673.475744566339,1.0,1.0,0.0,0.9404638283142956,0.9540059347181009,0.013542106403805265,-3.314244738663898,-3.3130433946587536,0.001201344005144378
final,80.0,85.0,82.5,3250,3930,-663.0901729493936,-600.278504826445,62.81166812294862,-132.6807472197577,-123.54004910297385,9.140698116783852,628.4810444983982,412.83460366347947,-215.64644083491874,628.4810444983982,412.83460366347947,-215.64644083491874,1128.6494512723411,881.3599078956544,-247.28954337668677,8135.572735797312,7007.946087682633,-1127.6266481146786,4927.64451413716,4142.563574615753,-785.0809395214064,1.0,1.0,0.0,0.962086513994911,0.9538461538461539,-0.008240360148757064,-3.3146490432569973,-3.313230732307692,0.0014183109493051127
final,85.0,90.0,87.5,3650,2970,-502.99744861494486,-629.3860626384685,-126.38861402352364,-68.64544940744814,-113.95256268046495,-45.30711327301681,480.2985501844946,520.3679203594212,40.069370174926576,480.2985501844946,520.3679203594212,40.069370174926576,855.5716548666387,1002.6594140483809,147.08775918174217,6178.524206684328,7924.373736623608,1745.8495299392798,3695.05578977892,4729.859992921948,1034.8042031430282,1.0,1.0,0.0,0.9474747474747475,0.9553424657534246,0.00786771827867716,-3.3143582727272722,-3.3126598794520548,0.0016983932752174802
final,90.0,95.0,92.5,3043,3758,-642.4112229861298,-585.6180094768546,56.79321350927523,-125.4296973682059,-168.19704447239195,-42.76734710418606,627.6611141788263,300.50404646926313,-327.1570677095632,627.6611141788263,300.50404646926313,-327.1570677095632,1110.1967423885842,794.0092974911591,-316.18744489742505,7947.847400895915,6448.621686953532,-1499.2257139423828,4719.130393362143,3809.052450941086,-910.0779424210568,1.0,1.0,0.0,0.9630122405534859,0.9536641472231351,-0.009348093330350804,-3.3143734672698244,-3.312514005915215,0.0018594613546092376
final,95.0,100.0,97.5,3857,3142,-593.6077606039019,-871.5911474159893,-277.9833868120875,-156.36935282358246,-309.27722479755784,-152.90787197397538,359.4746101916635,223.28226447209983,-136.19234571956366,359.4746101916635,223.28226447209983,-136.19234571956366,827.5605079343267,962.7900641868388,135.2295562525121,6531.977480334639,8223.63057829786,1691.6530979632207,3885.1562120394847,4559.708872852878,674.5526608133932,1.0,1.0,0.0,0.9528962444302992,0.9582577132486388,0.005361468818339654,-3.3144788828771485,-3.312938522167488,0.001540360709660682
final,100.0,110.0,105.0,6900,6900,-791.8078466684574,-752.0369717350449,39.77087493341253,-296.24011553559455,-277.78168570826966,18.458429827324892,164.43771073438538,224.87910217068685,60.44139143630147,164.43771073438538,224.87910217068685,60.44139143630147,828.4959163973298,854.9835219560607,26.487605558730934,7140.571052611858,7246.04686898658,105.47581637472194,4135.640399211103,4171.412712998588,35.77231378748547,1.0,1.0,0.0,0.9555072463768116,0.9539130434782609,-0.0015942028985507228,-3.3146376594202898,-3.313561728985507,0.0010759304347827126
