id,type,phase,x_A,y_A,z_A,pe_atom_eV,sxx_bar_A3,syy_bar_A3,szz_bar_A3,sxy_bar_A3,sxz_bar_A3,syz_bar_A3,hydrostatic_raw_bar_A3,displacement_A,dx_A,dy_A,dz_A,neighbor_count,strain_trace,von_mises_strain_proxy,d2min_A2
541,1,Fe4Al13_slab,13.053745444420104,5.213327752941201,45.772594565175645,-3.6268,1585500.0,958816.0,-204694.0,-1388410.0,-230795.0,897861.0,-779874.0,0.19207714284679922,-0.1430980921943021,-0.05746898211383478,-0.11451585440165245,15,0.02574359672041482,0.02093008538043748,0.07073107035099505
542,1,Fe4Al13_slab,13.820909463018998,4.766312632793603,43.16040039141901,-3.76678,725161.0,-761836.0,442262.0,-445239.0,197186.0,-1064820.0,-135195.66666666666,0.2610284315605734,-0.13165814458174374,-0.12209570643819491,-0.18945873829840565,13,0.01398737424815577,0.04748119804293749,0.02293420669279172
543,1,Fe4Al13_slab,8.462235182630211,0.6286316049927057,54.88962018494068,-3.55043,803233.0,1084630.0,1077430.0,-192051.0,-1270630.0,664021.0,-988431.0,0.25082814848938856,-0.056253925054603464,-0.21953672496824628,-0.10748898725349675,14,-0.6048613793493505,0.43512507585018656,2.5971937116768826
544,1,Fe4Al13_slab,3.843715271219977,1.081596376667154,48.003972982968534,-3.61272,-49764.3,-1516460.0,-328618.0,-866651.0,-265604.0,1162130.0,631614.1,0.4149494215541846,0.267246943132895,-0.28763551140208343,-0.13426803943879403,14,-0.015072916491235988,0.07240187030710006,0.1479189909601531
545,2,Fe4Al13_slab,14.940111442222033,5.99699053698792,54.9690307411985,-3.35216,2799370.0,2739220.0,1253130.0,861307.0,-390326.0,283023.0,-2263906.6666666665,0.19439678096458868,0.06950701085029996,-0.1630936934629803,-0.07974541394120394,12,-0.575159931444953,0.44881809035685666,2.9615827217581265
546,2,Fe4Al13_slab,12.644153107683776,3.010542932466877,54.575285444252536,-3.5744,461126.0,3540150.0,-288556.0,1380140.0,282918.0,-147294.0,-1237573.3333333333,0.4928738562224603,0.337304417561219,0.3582109121098007,0.02890173847279698,11,-0.73355632943181,0.5270950432442102,2.963446295632812
547,1,Fe4Al13_slab,10.610224698175935,1.1180693025196105,53.0826856398634,-3.60176,1466090.0,256076.0,153588.0,-19396.5,-153976.0,-668681.0,-625251.3333333334,0.16309714151356233,0.057015066717186244,-0.12119803827731879,0.09306446827258696,14,0.06506342656860253,0.05835880867294706,0.08149250774082474
548,1,Fe4Al13_slab,14.297079221384756,0.2130033424129264,50.95255095035069,-3.56397,1323980.0,-204450.0,470620.0,243213.0,193385.0,-825169.0,-530050.0,0.1923158270395207,0.18433895649232032,-0.0236049228769491,-0.04947053734487383,14,0.040681787350736576,0.043813026865065975,0.029845095324812415
549,1,Fe4Al13_slab,13.616979946237437,0.5951079669747382,53.54138929194343,-3.62045,822799.0,273918.0,-695981.0,393656.0,716036.0,698986.0,-133578.66666666666,0.18366809635504683,0.13638957068602406,0.02236663281167195,-0.12096110268775105,15,0.02485361088819682,0.04152900107847286,0.02523364485482088
550,1,Fe4Al13_slab,13.089302254765498,2.5955533282420364,51.90227922627381,-3.74769,-104749.0,135329.0,3518920.0,423162.0,-985024.0,1143570.0,-1183166.6666666667,0.16231163355247943,0.16216359684242754,-0.0068721560963571635,-0.0008987303201166695,14,0.00843471679980723,0.01799077476856251,0.028553109913952136
551,1,Fe4Al13_slab,11.39140770615386,0.7673770398578645,50.343929877537256,-3.66669,1676330.0,1483720.0,1493930.0,312135.0,150162.0,285651.0,-1551326.6666666667,0.14685302381024543,0.13596435737009568,-0.045186363390882,-0.032213299903247616,14,0.041466915413562844,0.03540704926674231,0.025877103728910604
552,1,Fe4Al13_slab,10.675753611267995,0.9839910413282151,45.76136756995137,-3.54484,197624.0,114151.0,-309166.0,333228.0,640544.0,-535036.0,-869.6666666666666,0.3778586023585622,0.009902615035121774,-0.19412927715587736,-0.3240260565799744,14,-0.012856207804348263,0.04910692603216892,0.05237494783843475
553,1,Fe4Al13_slab,11.345416456782864,0.4365229085218681,43.150764440503295,-3.74237,-315896.0,704217.0,-151915.0,-171000.0,796352.0,618378.0,-78802.0,0.39557424457655327,-0.0631971023741631,-0.25778974562755225,-0.2933079546706878,14,0.020716256572666625,0.02923141040573716,0.024143867272794876
554,1,Fe4Al13_slab,8.765761542291848,0.4643272175880876,43.79805153233321,-3.72712,-248193.0,458810.0,2387470.0,291626.0,-980622.0,938614.0,-866029.0,0.41069015699953243,0.07411148918092,-0.17557129204018151,-0.3637974898745568,14,0.03086240227173387,0.03174498627875108,0.06577527932301865
555,2,Fe4Al13_slab,13.327708883403217,6.587979452028163,41.061416806653,-3.54143,609558.0,2362490.0,3880250.0,858918.0,-345227.0,1042840.0,-2284099.3333333335,0.547405283125071,-0.24521024552864834,-0.22709080724312433,-0.433536901251422,12,0.010895899747942694,0.06129276088632039,0.10112895856308139
556,1,Fe4Al13_slab,1.9444244907049328,1.8384559927868067,55.333398302470535,-3.49675,-1034380.0,-6201.73,-307867.0,38765.4,28311.0,-225209.0,449482.91,0.3897674431069803,0.25336552601614537,-0.047698250642090434,-0.29231737344605335,14,0.025539836278442585,0.05528398072642212,0.07649475661394736
557,1,Fe4Al13_slab,15.763695734664067,2.699986243071893,51.13938208588245,-3.64203,-591195.0,570826.0,-1778980.0,-477166.0,318584.0,302829.0,599783.0,0.22188504404710277,0.11894039223954421,-0.06941561738532354,-0.17397594066049038,14,-0.022295894758861512,0.025782924688714338,0.022244224606567102
558,1,Fe4Al13_slab,15.248378266775632,3.192859247800695,53.735829858289925,-3.61218,502212.0,-218362.0,-1214550.0,218660.0,760236.0,-155278.0,310233.3333333333,0.3975936032258578,0.3326068461983098,0.03558664744251417,-0.21491149274046958,13,-0.015055912128711046,0.05026992862568436,0.060612801740910265
559,2,Fe4Al13_slab,14.059314108827355,2.331382597945712,49.14202728448362,-3.25033,1175160.0,951319.0,2813150.0,-495377.0,-633619.0,610591.0,-1646543.0,0.13415593218714808,0.05441228705628908,0.027758039876914165,-0.11944290845629268,12,0.016514024716533515,0.031236798039767873,0.02484466256942858
560,1,Fe4Al13_slab,12.757234665704475,2.694649319936098,46.731121925934424,-3.68298,1268110.0,-54410.6,1836320.0,-8776.89,260160.0,579555.0,-1016673.1333333333,0.287309509317385,0.00288684042503994,-0.09825502055834746,-0.2699710562849944,12,0.03413883247010885,0.039143641076215215,0.023283155282498618
561,1,Fe4Al13_slab,4.196875444952658,3.397861327459364,54.84039024522847,-3.7023,-824373.0,-406521.0,1408940.0,336638.0,194465.0,-16894.5,-59348.666666666664,0.278240316472624,0.24722810356407798,0.05326831347818395,-0.116010453400051,13,0.02576877924411558,0.03948591737105232,0.012609075183501418
562,1,Fe4Al13_slab,5.146658201165634,2.844692710511788,52.226673260529466,-3.89299,1782360.0,1414640.0,-278562.0,-365862.0,-579938.0,493936.0,-972812.6666666666,0.2229087711419211,0.1701970545634861,0.043610130227308204,-0.13718396193240778,14,0.029887566525279796,0.03165198998877707,0.017984687673432236
563,1,Fe4Al13_slab,3.434622437518555,5.322305098308006,45.87552688142463,-3.76054,-41048.8,232812.0,739975.0,939302.0,65801.9,232890.0,-310579.39999999997,0.19212208405056436,-0.10779406471775932,-0.044274191159662024,-0.1527453134754495,13,-0.004648376816061006,0.029043376171633613,0.026942575879473615
